name,price,stars,site
Arduino UNO REV3 [A000066],$28.50,4.8 out of 5 stars,a
Arduino UNO SMD REV3 [A000073],$29.95,4.7 out of 5 stars,m
Arduino UNO WiFi REV2 [ABX00021],$26.99,4.5 out of 5 stars,a
ELEGOO UNO R3 Board ATmega328P with USB Cable(Arduino-Compatible) for Arduino,$29.95,4.7 out of 5 stars,z
"GAR Monster Starter Kit for Arduino Uno Mega Nano, Complete Advanced Set w/ ESP32, 25 Sensor Modules, Bluetooth WiFi Ethernet Wireless for Electronics STEM Robotics Projects",$58.00,4.7 out of 5 stars,o
ARDUINO 2243680 K000007 Starter Kit with Compatible 9V Wall Adapter,$63.94,4.5 out of 5 stars,n
Treedix 2pcs ATmega328P CH340 Development Board Compatible with Arduino UNO R3 Board Kit for Starter,$17.99,4.4 out of 5 stars,.
ELEGOO UNO Project Super Starter Kit with Tutorial and UNO R3 Compatible with Arduino IDE,$29.99,4.7 out of 5 stars,c
Arduino The Official Starter Kit Deluxe Bundle with Make: Getting Started The Open Source Electronics Prototyping Platform 3rd Edition Book,$225.99,4.4 out of 5 stars,o
Arduino Due [A000056],$123.82,5.0 out of 5 stars,m
ELEGOO UNO R3 Project Most Complete Starter Kit w/Tutorial Compatible with Arduino IDE (63 Items),$18.99,4.7 out of 5 stars,
Arduino Mega 2560 REV3 [A000067],$20.99,4.8 out of 5 stars,
Arduino Proto Shield REV3 UNO Size [TSX00083],$44.99,4.4 out of 5 stars,
Arduino Zero [ABX00003],$159.99,5.0 out of 5 stars,
"KEYESTUDIO Plus Board for Arduino UNO R3 with Type-C USB Cable, 3.3V 5V 1.5A Output Current, More Powerful Controller Board",$45.50,4.5 out of 5 stars,
"ARDUINO A000048 ATMega328P Microcontroller with Arduino Uno Optiboot Bootloader, 32kB, 1.5"" (Pack of 2)",$59.99,,
,$43.47,,
,$55.00,,
,$14.00,,
,$50.00,,
,$15.55,,
,$10.76,,
